"","V1","V2"
"1",152145097628288,0.00013407104306781
"2",8.28555189616463e+40,2.69211019234211e-05
"3",5.69250338953198e+54,4.20254858360753e-05
"4",1.40038431602877e+30,8.98495112205366e-05
"5",5.8880312597056e+126,5.57109474500618e-05
"6",1.90112119326208e+132,5.33383037081608e-05
"7",1.05362145477166e+84,4.98319626476743e-05
"8",NA,5.72843549008338e-05
"9",NA,8.45119246400514e-05
"10",NA,2.17331187476575e-05
