"","err_ULA","err_UBA"
"1",6.46515556506138e+131,0.0382710413245706
"2",4.17770246268568e+292,0.0380367724413183
"3",Inf,0.0381031982776484
"4",Inf,0.0379340741548177
"5",NA,0.0380712535050402
"6",NA,0.0379854805103614
"7",NA,0.0379307659224951
"8",NA,0.0379159082226071
"9",NA,0.0379380300134258
"10",NA,0.0379293127297466
